alert_id,entity_id,asset_id,category,severity,created_at,first_ack_at,closed_at,disposition,escalated,escalated_at,case_id
AL-000000017,CSE-001,AST-001-3,intrusion,medium,2026-08-11T07:19:00+00:00,2026-08-11T07:24:00+00:00,2026-08-11T12:51:00+00:00,benign,False,,
AL-000000018,CSE-001,AST-001-1,malware,high,2026-08-18T17:10:00+00:00,2026-08-18T17:15:00+00:00,2026-08-19T00:46:00+00:00,true_positive,False,,
AL-000000019,CSE-001,AST-001-3,phishing,medium,2026-08-08T03:00:00+00:00,2026-08-08T03:05:00+00:00,2026-08-08T10:30:00+00:00,true_positive,False,,
AL-000000020,CSE-001,AST-001-1,intrusion,medium,2026-08-03T07:07:00+00:00,2026-08-03T07:12:00+00:00,2026-08-03T09:29:00+00:00,false_positive,False,,
AL-000000021,CSE-001,AST-001-3,malware,medium,2026-08-23T13:50:00+00:00,2026-08-23T13:55:00+00:00,2026-08-23T17:32:00+00:00,false_positive,False,,
AL-000000022,CSE-001,AST-001-1,intrusion,critical,2026-08-20T13:34:00+00:00,2026-08-20T13:39:00+00:00,2026-08-20T21:47:00+00:00,benign,False,,
AL-000000023,CSE-001,AST-001-3,intrusion,critical,2026-08-22T18:58:00+00:00,2026-08-22T19:03:00+00:00,2026-08-23T02:45:00+00:00,benign,False,,
AL-000000024,CSE-001,AST-001-1,intrusion,low,2026-08-09T03:07:00+00:00,2026-08-09T03:12:00+00:00,2026-08-09T06:34:00+00:00,benign,False,,
AL-000000025,CSE-001,AST-001-2,malware,low,2026-08-10T02:00:00+00:00,2026-08-10T02:05:00+00:00,2026-08-10T04:49:00+00:00,benign,False,,
AL-000000026,CSE-001,AST-001-3,intrusion,high,2026-08-17T01:37:00+00:00,2026-08-17T01:42:00+00:00,2026-08-17T09:18:00+00:00,false_positive,False,,
AL-000000027,CSE-001,AST-001-2,DoS,medium,2026-08-12T07:24:00+00:00,2026-08-12T07:29:00+00:00,2026-08-12T09:15:00+00:00,true_positive,False,,
AL-000000028,CSE-001,AST-001-2,phishing,low,2026-08-18T10:36:00+00:00,2026-08-18T10:41:00+00:00,2026-08-18T13:12:00+00:00,false_positive,False,,
AL-000000029,CSE-001,AST-001-2,intrusion,low,2026-08-26T07:25:00+00:00,2026-08-26T07:30:00+00:00,2026-08-26T09:59:00+00:00,true_positive,False,,
AL-000000030,CSE-001,AST-001-2,intrusion,medium,2026-08-03T16:07:00+00:00,2026-08-03T16:12:00+00:00,2026-08-03T21:08:00+00:00,benign,False,,
AL-000000031,CSE-001,AST-001-1,malware,critical,2026-08-29T20:08:00+00:00,2026-08-29T20:13:00+00:00,2026-08-30T03:32:00+00:00,benign,False,,
AL-000000032,CSE-001,AST-001-1,phishing,medium,2026-08-22T12:01:00+00:00,2026-08-22T12:06:00+00:00,2026-08-22T17:23:00+00:00,unresolved,False,,
AL-000000033,CSE-001,AST-001-2,phishing,low,2026-08-14T18:36:00+00:00,2026-08-14T18:41:00+00:00,2026-08-14T23:51:00+00:00,false_positive,False,,
AL-000000034,CSE-001,AST-001-1,DoS,low,2026-08-05T20:34:00+00:00,2026-08-05T20:39:00+00:00,2026-08-06T01:31:00+00:00,benign,False,,
AL-000000035,CSE-001,AST-001-2,phishing,medium,2026-08-14T18:12:00+00:00,2026-08-14T18:17:00+00:00,2026-08-14T20:27:00+00:00,true_positive,False,,
AL-000000036,CSE-001,AST-001-3,DoS,medium,2026-08-27T01:16:00+00:00,2026-08-27T01:21:00+00:00,2026-08-27T04:47:00+00:00,benign,False,,
AL-000000037,CSE-001,AST-001-1,malware,high,2026-08-21T04:49:00+00:00,2026-08-21T04:54:00+00:00,2026-08-21T12:07:00+00:00,true_positive,False,,
AL-000000038,CSE-001,AST-001-3,DoS,medium,2026-08-14T09:50:00+00:00,2026-08-14T09:55:00+00:00,2026-08-14T13:37:00+00:00,benign,False,,
AL-000000039,CSE-001,AST-001-3,intrusion,critical,2026-08-21T07:17:00+00:00,2026-08-21T07:22:00+00:00,2026-08-21T15:30:00+00:00,false_positive,False,,
AL-000000040,CSE-001,AST-001-1,intrusion,low,2026-08-01T18:00:00+00:00,2026-08-01T18:05:00+00:00,2026-08-02T03:25:00+00:00,true_positive,False,,
AL-000000041,CSE-001,AST-001-3,malware,high,2026-08-02T09:19:00+00:00,2026-08-02T09:24:00+00:00,2026-08-02T18:14:00+00:00,benign,False,,
AL-000000042,CSE-001,AST-001-1,intrusion,medium,2026-08-04T14:10:00+00:00,2026-08-04T14:15:00+00:00,2026-08-04T19:23:00+00:00,benign,False,,
AL-000000043,CSE-001,AST-001-1,intrusion,medium,2026-08-11T07:30:00+00:00,2026-08-11T07:35:00+00:00,2026-08-11T16:28:00+00:00,benign,False,,
AL-000000044,CSE-001,AST-001-1,DoS,critical,2026-08-22T21:20:00+00:00,2026-08-22T21:25:00+00:00,2026-08-23T04:32:00+00:00,true_positive,True,2026-08-22T21:50:00+00:00,
AL-000000045,CSE-001,AST-001-3,DoS,low,2026-08-04T15:14:00+00:00,2026-08-04T15:19:00+00:00,2026-08-04T17:36:00+00:00,benign,False,,
AL-000000046,CSE-001,AST-001-1,DoS,low,2026-08-29T04:50:00+00:00,2026-08-29T04:55:00+00:00,2026-08-29T07:36:00+00:00,benign,False,,
AL-000000047,CSE-001,AST-001-1,malware,low,2026-08-16T00:29:00+00:00,2026-08-16T00:34:00+00:00,2026-08-16T05:59:00+00:00,true_positive,False,,
AL-000000048,CSE-001,AST-001-1,phishing,medium,2026-08-22T09:37:00+00:00,2026-08-22T09:42:00+00:00,2026-08-22T11:48:00+00:00,true_positive,False,,
AL-000000049,CSE-001,AST-001-3,DoS,medium,2026-08-03T14:28:00+00:00,2026-08-03T14:33:00+00:00,2026-08-03T21:42:00+00:00,true_positive,False,,
AL-000000050,CSE-001,AST-001-3,phishing,high,2026-08-29T18:32:00+00:00,2026-08-29T18:37:00+00:00,2026-08-30T02:33:00+00:00,true_positive,False,,
AL-000000051,CSE-001,AST-001-1,phishing,medium,2026-08-03T14:25:00+00:00,2026-08-03T14:30:00+00:00,2026-08-04T00:10:00+00:00,false_positive,False,,
AL-000000052,CSE-001,AST-001-2,malware,critical,2026-08-11T06:39:00+00:00,2026-08-11T06:44:00+00:00,2026-08-11T14:33:00+00:00,unresolved,False,,
AL-000000053,CSE-001,AST-001-3,malware,medium,2026-08-13T04:32:00+00:00,2026-08-13T04:37:00+00:00,2026-08-13T10:31:00+00:00,true_positive,False,,
AL-000000054,CSE-001,AST-001-2,phishing,critical,2026-08-08T18:50:00+00:00,2026-08-08T18:55:00+00:00,2026-08-09T03:55:00+00:00,unresolved,False,,
AL-000000055,CSE-001,AST-001-3,phishing,medium,2026-08-07T04:10:00+00:00,2026-08-07T04:15:00+00:00,2026-08-07T10:52:00+00:00,true_positive,False,,
AL-000000056,CSE-001,AST-001-2,phishing,high,2026-08-27T08:03:00+00:00,2026-08-27T08:08:00+00:00,2026-08-27T15:40:00+00:00,false_positive,False,,
AL-000000057,CSE-001,AST-001-2,malware,high,2026-08-08T07:28:00+00:00,2026-08-08T07:33:00+00:00,2026-08-08T16:45:00+00:00,false_positive,False,,
AL-000000058,CSE-001,AST-001-2,intrusion,medium,2026-08-19T15:35:00+00:00,2026-08-19T15:40:00+00:00,2026-08-19T17:36:00+00:00,benign,False,,
AL-000000059,CSE-001,AST-001-1,DoS,low,2026-08-17T08:06:00+00:00,2026-08-17T08:11:00+00:00,2026-08-17T11:31:00+00:00,benign,False,,
AL-000000060,CSE-001,AST-001-1,intrusion,low,2026-08-06T19:41:00+00:00,2026-08-06T19:46:00+00:00,2026-08-07T04:37:00+00:00,benign,False,,
AL-000000061,CSE-001,AST-001-3,DoS,high,2026-08-26T06:16:00+00:00,2026-08-26T06:21:00+00:00,2026-08-26T13:41:00+00:00,true_positive,False,,
AL-000000062,CSE-001,AST-001-2,malware,low,2026-08-13T03:25:00+00:00,2026-08-13T03:30:00+00:00,2026-08-13T05:54:00+00:00,true_positive,False,,
AL-000000063,CSE-001,AST-001-3,malware,low,2026-08-14T19:58:00+00:00,2026-08-14T20:03:00+00:00,2026-08-14T21:09:00+00:00,true_positive,False,,
AL-000000064,CSE-001,AST-001-3,intrusion,medium,2026-08-18T01:15:00+00:00,2026-08-18T01:20:00+00:00,2026-08-18T07:34:00+00:00,false_positive,False,,
AL-000000065,CSE-001,AST-001-2,intrusion,high,2026-08-01T22:51:00+00:00,2026-08-01T22:56:00+00:00,2026-08-02T06:25:00+00:00,true_positive,False,,
AL-000000066,CSE-001,AST-001-1,DoS,low,2026-08-25T05:41:00+00:00,2026-08-25T05:46:00+00:00,2026-08-25T08:44:00+00:00,benign,False,,
AL-000000067,CSE-001,AST-001-2,DoS,low,2026-08-18T10:17:00+00:00,2026-08-18T10:22:00+00:00,2026-08-18T11:20:00+00:00,false_positive,False,,
AL-000000068,CSE-001,AST-001-3,malware,high,2026-08-27T13:15:00+00:00,2026-08-27T13:20:00+00:00,2026-08-27T21:24:00+00:00,unresolved,False,,
AL-000000069,CSE-001,AST-001-3,phishing,high,2026-08-06T05:22:00+00:00,2026-08-06T05:27:00+00:00,2026-08-06T12:43:00+00:00,benign,False,,
AL-000000070,CSE-001,AST-001-3,DoS,medium,2026-08-07T21:30:00+00:00,2026-08-07T21:35:00+00:00,2026-08-08T04:02:00+00:00,true_positive,False,,
AL-000000071,CSE-001,AST-001-3,DoS,medium,2026-08-14T22:54:00+00:00,2026-08-14T22:59:00+00:00,2026-08-15T08:36:00+00:00,false_positive,False,,
AL-000000072,CSE-001,AST-001-1,intrusion,medium,2026-08-19T07:59:00+00:00,2026-08-19T08:04:00+00:00,2026-08-19T11:13:00+00:00,true_positive,False,,
AL-000000073,CSE-001,AST-001-1,phishing,medium,2026-08-16T15:24:00+00:00,2026-08-16T15:29:00+00:00,2026-08-16T21:50:00+00:00,false_positive,False,,
AL-000000074,CSE-001,AST-001-2,malware,low,2026-08-19T21:00:00+00:00,2026-08-19T21:05:00+00:00,2026-08-20T01:54:00+00:00,benign,False,,
AL-000000075,CSE-001,AST-001-3,intrusion,critical,2026-08-21T21:23:00+00:00,2026-08-21T21:28:00+00:00,2026-08-22T05:43:00+00:00,false_positive,False,,
AL-000000076,CSE-001,AST-001-2,phishing,high,2026-08-17T03:30:00+00:00,2026-08-17T03:35:00+00:00,2026-08-17T11:45:00+00:00,benign,False,,
AL-000000077,CSE-001,AST-001-1,malware,medium,2026-08-15T01:14:00+00:00,2026-08-15T01:19:00+00:00,2026-08-15T02:53:00+00:00,benign,False,,
AL-000000078,CSE-001,AST-001-3,DoS,medium,2026-08-24T15:08:00+00:00,2026-08-24T15:13:00+00:00,2026-08-24T20:39:00+00:00,true_positive,False,,
AL-000000079,CSE-001,AST-001-3,phishing,low,2026-08-12T16:24:00+00:00,2026-08-12T16:29:00+00:00,2026-08-12T22:59:00+00:00,true_positive,False,,
AL-000000080,CSE-001,AST-001-3,intrusion,low,2026-08-03T08:36:00+00:00,2026-08-03T08:41:00+00:00,2026-08-03T18:14:00+00:00,benign,False,,
AL-000000081,CSE-001,AST-001-1,intrusion,high,2026-08-13T06:48:00+00:00,2026-08-13T06:53:00+00:00,2026-08-13T14:23:00+00:00,unresolved,False,,
AL-000000082,CSE-001,AST-001-1,malware,low,2026-08-09T13:36:00+00:00,2026-08-09T13:41:00+00:00,2026-08-09T19:54:00+00:00,benign,False,,
AL-000000083,CSE-001,AST-001-3,phishing,medium,2026-08-26T17:59:00+00:00,2026-08-26T18:04:00+00:00,2026-08-27T00:04:00+00:00,false_positive,False,,
AL-000000084,CSE-001,AST-001-3,malware,high,2026-08-09T09:30:00+00:00,2026-08-09T09:35:00+00:00,2026-08-09T18:26:00+00:00,benign,False,,
AL-000000085,CSE-001,AST-001-1,intrusion,low,2026-08-03T11:52:00+00:00,2026-08-03T11:57:00+00:00,2026-08-03T19:56:00+00:00,true_positive,False,,
AL-000000086,CSE-001,AST-001-3,phishing,medium,2026-08-11T10:08:00+00:00,2026-08-11T10:13:00+00:00,2026-08-11T19:25:00+00:00,benign,False,,
AL-000000087,CSE-001,AST-001-3,intrusion,high,2026-08-20T19:48:00+00:00,2026-08-20T19:53:00+00:00,2026-08-21T03:56:00+00:00,false_positive,False,,
AL-000000088,CSE-001,AST-001-1,DoS,low,2026-08-15T01:36:00+00:00,2026-08-15T01:41:00+00:00,2026-08-15T05:25:00+00:00,true_positive,False,,
AL-000000089,CSE-001,AST-001-1,phishing,medium,2026-08-14T09:43:00+00:00,2026-08-14T09:48:00+00:00,2026-08-14T14:39:00+00:00,benign,False,,
AL-000000090,CSE-001,AST-001-3,phishing,high,2026-08-02T23:27:00+00:00,2026-08-02T23:32:00+00:00,2026-08-03T07:56:00+00:00,false_positive,False,,
AL-000000091,CSE-001,AST-001-1,DoS,high,2026-08-01T21:19:00+00:00,2026-08-01T21:24:00+00:00,2026-08-02T05:48:00+00:00,true_positive,False,,
AL-000000092,CSE-001,AST-001-1,phishing,low,2026-08-05T00:58:00+00:00,2026-08-05T01:03:00+00:00,2026-08-05T07:42:00+00:00,benign,False,,
AL-000000093,CSE-001,AST-001-2,intrusion,medium,2026-08-14T17:02:00+00:00,2026-08-14T17:07:00+00:00,2026-08-14T18:08:00+00:00,benign,False,,
AL-000000094,CSE-001,AST-001-2,DoS,medium,2026-08-02T10:04:00+00:00,2026-08-02T10:09:00+00:00,2026-08-02T15:11:00+00:00,false_positive,False,,
AL-000000095,CSE-001,AST-001-1,DoS,low,2026-08-09T02:12:00+00:00,2026-08-09T02:17:00+00:00,2026-08-09T10:13:00+00:00,unresolved,False,,
AL-000000096,CSE-001,AST-001-1,malware,high,2026-08-10T15:36:00+00:00,2026-08-10T15:41:00+00:00,2026-08-11T00:00:00+00:00,unresolved,False,,
AL-000000097,CSE-001,AST-001-1,DoS,medium,2026-08-11T04:42:00+00:00,2026-08-11T04:47:00+00:00,2026-08-11T11:18:00+00:00,benign,False,,
AL-000000098,CSE-001,AST-001-1,DoS,low,2026-08-29T15:49:00+00:00,2026-08-29T15:54:00+00:00,2026-08-29T20:53:00+00:00,benign,False,,
AL-000000099,CSE-001,AST-001-1,malware,high,2026-08-24T18:03:00+00:00,2026-08-24T18:08:00+00:00,2026-08-25T02:21:00+00:00,true_positive,False,,
AL-000000100,CSE-001,AST-001-3,malware,medium,2026-08-25T23:12:00+00:00,2026-08-25T23:17:00+00:00,2026-08-26T00:39:00+00:00,benign,False,,
AL-000000101,CSE-001,AST-001-3,DoS,low,2026-08-22T03:42:00+00:00,2026-08-22T03:47:00+00:00,2026-08-22T12:20:00+00:00,benign,False,,
AL-000000102,CSE-001,AST-001-2,malware,medium,2026-08-27T00:20:00+00:00,2026-08-27T00:25:00+00:00,2026-08-27T08:16:00+00:00,benign,False,,
AL-000000103,CSE-001,AST-001-2,phishing,low,2026-08-17T06:30:00+00:00,2026-08-17T06:35:00+00:00,2026-08-17T09:18:00+00:00,false_positive,False,,
AL-000000104,CSE-001,AST-001-2,malware,high,2026-08-14T14:25:00+00:00,2026-08-14T14:30:00+00:00,2026-08-14T22:04:00+00:00,benign,False,,
AL-000000105,CSE-001,AST-001-3,phishing,low,2026-08-24T21:39:00+00:00,2026-08-24T21:44:00+00:00,2026-08-24T23:32:00+00:00,unresolved,False,,
AL-000000106,CSE-001,AST-001-2,malware,low,2026-08-12T18:22:00+00:00,2026-08-12T18:27:00+00:00,2026-08-12T19:59:00+00:00,true_positive,False,,
AL-000000107,CSE-001,AST-001-3,malware,high,2026-08-04T20:39:00+00:00,2026-08-04T20:44:00+00:00,2026-08-05T05:11:00+00:00,true_positive,False,,
AL-000000108,CSE-001,AST-001-1,phishing,medium,2026-08-19T14:03:00+00:00,2026-08-19T14:08:00+00:00,2026-08-19T23:52:00+00:00,benign,False,,
AL-000000109,CSE-001,AST-001-2,intrusion,low,2026-08-05T04:37:00+00:00,2026-08-05T04:42:00+00:00,2026-08-05T10:46:00+00:00,unresolved,False,,
AL-000000110,CSE-001,AST-001-2,DoS,medium,2026-08-18T08:49:00+00:00,2026-08-18T08:54:00+00:00,2026-08-18T15:01:00+00:00,benign,False,,
AL-000000111,CSE-001,AST-001-3,intrusion,medium,2026-08-25T22:06:00+00:00,2026-08-25T22:11:00+00:00,2026-08-26T00:26:00+00:00,false_positive,False,,
AL-000000112,CSE-001,AST-001-1,intrusion,low,2026-08-26T17:59:00+00:00,2026-08-26T18:04:00+00:00,2026-08-26T20:03:00+00:00,false_positive,False,,
AL-000000113,CSE-001,AST-001-3,intrusion,medium,2026-08-12T16:11:00+00:00,2026-08-12T16:16:00+00:00,2026-08-12T21:02:00+00:00,benign,False,,
AL-000000114,CSE-001,AST-001-2,intrusion,low,2026-08-26T01:13:00+00:00,2026-08-26T01:18:00+00:00,2026-08-26T05:53:00+00:00,benign,False,,
AL-000000115,CSE-001,AST-001-1,malware,medium,2026-08-03T19:22:00+00:00,2026-08-03T19:27:00+00:00,2026-08-03T20:41:00+00:00,false_positive,False,,
AL-000000116,CSE-001,AST-001-2,phishing,medium,2026-08-27T17:43:00+00:00,2026-08-27T17:48:00+00:00,2026-08-27T23:52:00+00:00,benign,False,,
AL-000000117,CSE-001,AST-001-2,phishing,low,2026-08-13T11:21:00+00:00,2026-08-13T11:26:00+00:00,2026-08-13T18:13:00+00:00,benign,False,,
AL-000000118,CSE-001,AST-001-3,phishing,medium,2026-08-24T18:55:00+00:00,2026-08-24T19:00:00+00:00,2026-08-24T23:47:00+00:00,false_positive,False,,
AL-000000119,CSE-001,AST-001-3,phishing,high,2026-08-07T01:26:00+00:00,2026-08-07T01:31:00+00:00,2026-08-07T09:46:00+00:00,false_positive,False,,
AL-000000120,CSE-001,AST-001-2,intrusion,high,2026-08-15T09:54:00+00:00,2026-08-15T09:59:00+00:00,2026-08-15T18:09:00+00:00,benign,False,,
AL-000000121,CSE-001,AST-001-3,malware,low,2026-08-29T07:01:00+00:00,2026-08-29T07:06:00+00:00,2026-08-29T09:03:00+00:00,benign,False,,
AL-000000122,CSE-001,AST-001-3,intrusion,low,2026-08-28T05:58:00+00:00,2026-08-28T06:03:00+00:00,2026-08-28T09:29:00+00:00,true_positive,False,,
AL-000000123,CSE-001,AST-001-3,DoS,low,2026-08-28T13:42:00+00:00,2026-08-28T13:47:00+00:00,2026-08-28T21:23:00+00:00,benign,False,,
AL-000000124,CSE-001,AST-001-3,malware,low,2026-08-18T11:01:00+00:00,2026-08-18T11:06:00+00:00,2026-08-18T15:22:00+00:00,benign,False,,
AL-000000125,CSE-001,AST-001-2,intrusion,critical,2026-08-15T18:13:00+00:00,2026-08-15T18:18:00+00:00,2026-08-16T03:37:00+00:00,benign,False,,
AL-000000126,CSE-001,AST-001-3,DoS,medium,2026-08-21T11:35:00+00:00,2026-08-21T11:40:00+00:00,2026-08-21T13:52:00+00:00,false_positive,False,,
AL-000000127,CSE-001,AST-001-1,intrusion,low,2026-08-11T21:57:00+00:00,2026-08-11T22:02:00+00:00,2026-08-12T05:01:00+00:00,false_positive,False,,
AL-000000128,CSE-001,AST-001-3,DoS,low,2026-08-25T18:02:00+00:00,2026-08-25T18:07:00+00:00,2026-08-25T22:47:00+00:00,unresolved,False,,
AL-000000129,CSE-001,AST-001-2,intrusion,high,2026-08-14T09:03:00+00:00,2026-08-14T09:08:00+00:00,2026-08-14T17:49:00+00:00,true_positive,False,,
AL-000000130,CSE-001,AST-001-1,intrusion,low,2026-08-06T01:19:00+00:00,2026-08-06T01:24:00+00:00,2026-08-06T05:50:00+00:00,benign,False,,
AL-000000131,CSE-001,AST-001-1,DoS,low,2026-08-16T14:07:00+00:00,2026-08-16T14:12:00+00:00,2026-08-16T19:20:00+00:00,true_positive,False,,
AL-000000132,CSE-001,AST-001-1,intrusion,low,2026-08-03T05:16:00+00:00,2026-08-03T05:21:00+00:00,2026-08-03T06:40:00+00:00,false_positive,False,,
AL-000000133,CSE-001,AST-001-1,malware,medium,2026-08-01T15:04:00+00:00,2026-08-01T15:09:00+00:00,2026-08-01T21:20:00+00:00,true_positive,False,,
AL-000000134,CSE-001,AST-001-2,phishing,medium,2026-08-06T02:58:00+00:00,2026-08-06T03:03:00+00:00,2026-08-06T11:33:00+00:00,benign,False,,
AL-000000135,CSE-001,AST-001-3,phishing,low,2026-08-07T11:05:00+00:00,2026-08-07T11:10:00+00:00,2026-08-07T18:56:00+00:00,false_positive,False,,
AL-000000136,CSE-001,AST-001-2,phishing,high,2026-08-04T22:42:00+00:00,2026-08-04T22:47:00+00:00,2026-08-05T07:01:00+00:00,benign,False,,
AL-000000137,CSE-001,AST-001-3,malware,medium,2026-08-05T19:00:00+00:00,2026-08-05T19:05:00+00:00,2026-08-05T23:52:00+00:00,benign,False,,
AL-000000138,CSE-001,AST-001-2,phishing,low,2026-08-05T20:13:00+00:00,2026-08-05T20:18:00+00:00,2026-08-06T02:27:00+00:00,false_positive,False,,
AL-000000139,CSE-001,AST-001-3,intrusion,medium,2026-08-27T10:57:00+00:00,2026-08-27T11:02:00+00:00,2026-08-27T20:56:00+00:00,benign,False,,
AL-000000140,CSE-001,AST-001-1,phishing,low,2026-08-25T08:28:00+00:00,2026-08-25T08:33:00+00:00,2026-08-25T12:18:00+00:00,true_positive,False,,
AL-000000141,CSE-001,AST-001-1,phishing,medium,2026-08-03T14:30:00+00:00,2026-08-03T14:35:00+00:00,2026-08-03T19:16:00+00:00,benign,False,,
AL-000000142,CSE-001,AST-001-3,phishing,low,2026-08-30T06:55:00+00:00,2026-08-30T07:00:00+00:00,2026-08-30T09:26:00+00:00,benign,False,,
AL-000000143,CSE-001,AST-001-2,phishing,medium,2026-08-02T00:40:00+00:00,2026-08-02T00:45:00+00:00,2026-08-02T09:34:00+00:00,benign,False,,
AL-000000144,CSE-001,AST-001-2,DoS,high,2026-08-04T07:18:00+00:00,2026-08-04T07:23:00+00:00,2026-08-04T14:37:00+00:00,benign,False,,
AL-000000145,CSE-001,AST-001-1,DoS,high,2026-08-28T08:23:00+00:00,2026-08-28T08:28:00+00:00,2026-08-28T15:41:00+00:00,false_positive,False,,
AL-000000146,CSE-001,AST-001-3,phishing,critical,2026-08-11T12:45:00+00:00,2026-08-11T12:50:00+00:00,2026-08-11T20:02:00+00:00,false_positive,False,,
AL-000000147,CSE-001,AST-001-1,malware,low,2026-08-02T08:39:00+00:00,2026-08-02T08:44:00+00:00,2026-08-02T16:23:00+00:00,true_positive,False,,
AL-000000148,CSE-001,AST-001-3,intrusion,medium,2026-08-15T18:19:00+00:00,2026-08-15T18:24:00+00:00,2026-08-16T02:18:00+00:00,unresolved,False,,
AL-000000149,CSE-001,AST-001-2,malware,medium,2026-08-21T01:38:00+00:00,2026-08-21T01:43:00+00:00,2026-08-21T11:26:00+00:00,benign,False,,
AL-000000150,CSE-001,AST-001-2,malware,high,2026-08-24T01:33:00+00:00,2026-08-24T01:38:00+00:00,2026-08-24T09:51:00+00:00,benign,False,,
AL-000000151,CSE-001,AST-001-1,DoS,medium,2026-08-29T10:17:00+00:00,2026-08-29T10:22:00+00:00,2026-08-29T19:51:00+00:00,true_positive,False,,
AL-000000152,CSE-001,AST-001-3,phishing,high,2026-08-10T22:00:00+00:00,2026-08-10T22:05:00+00:00,2026-08-11T06:15:00+00:00,benign,False,,
AL-000000153,CSE-001,AST-001-1,phishing,low,2026-08-19T02:11:00+00:00,2026-08-19T02:16:00+00:00,2026-08-19T10:23:00+00:00,false_positive,False,,
AL-000000154,CSE-001,AST-001-1,phishing,low,2026-08-23T17:23:00+00:00,2026-08-23T17:28:00+00:00,2026-08-24T02:06:00+00:00,false_positive,False,,
AL-000000155,CSE-001,AST-001-2,phishing,medium,2026-08-15T02:42:00+00:00,2026-08-15T02:47:00+00:00,2026-08-15T03:57:00+00:00,benign,False,,
AL-000000156,CSE-001,AST-001-1,DoS,high,2026-08-23T02:46:00+00:00,2026-08-23T02:51:00+00:00,2026-08-23T11:42:00+00:00,benign,False,,
AL-000000157,CSE-001,AST-001-2,phishing,medium,2026-08-21T19:57:00+00:00,2026-08-21T20:02:00+00:00,2026-08-22T00:59:00+00:00,false_positive,False,,
AL-000000158,CSE-001,AST-001-1,intrusion,low,2026-08-04T18:58:00+00:00,2026-08-04T19:03:00+00:00,2026-08-05T02:04:00+00:00,false_positive,False,,
AL-000000159,CSE-001,AST-001-3,intrusion,high,2026-08-09T16:32:00+00:00,2026-08-09T16:37:00+00:00,2026-08-10T01:43:00+00:00,false_positive,False,,
AL-000000160,CSE-001,AST-001-3,phishing,medium,2026-08-15T00:14:00+00:00,2026-08-15T00:19:00+00:00,2026-08-15T02:27:00+00:00,unresolved,False,,
AL-000000161,CSE-001,AST-001-1,intrusion,medium,2026-08-09T04:39:00+00:00,2026-08-09T04:44:00+00:00,2026-08-09T11:00:00+00:00,benign,False,,
